"Carimbo de data/hora,1. Qual é o seu gênero? ,2. Qual é a sua faixa etária?,3. Qual é o seu maior nível de escolaridade completo?,""4. Em média, quantas horas por dia você passa utilizando o celular (considerando chamadas, mensagens, redes sociais, jogos, etc.)?"",5. Qual das seguintes redes sociais você mais utiliza? ,""6. Com que frequência você publica conteúdo (fotos, vídeos, textos) em redes sociais? "",""7. Em uma escala de 0 a 10, o quanto você concorda com a frase: """"As redes sociais melhoram minha qualidade de vida""""? "",8. Quantas redes sociais diferentes você utiliza pelo menos uma vez por semana? ,""9. Você já utilizou ferramentas de inteligência artificial (como ChatGPT, DeepSeek, Copilot, Gemini, etc.) para atividades pessoais ou de estudo/trabalho? "",10. Como você classificaria seu nível de dependência do celular no seu dia a dia? ,""11. Quantas horas por dia, em média, você assiste a vídeos online (YouTube, TikTok,  Instagram, Netflix, etc.)? "",""12. Em uma escala de 1 a 5, qual o seu nível de preocupação com a privacidade dos seus dados em redes sociais? "",13. Qual dos seguintes dispositivos você mais utiliza para acessar a internet? ,""14. Quantas horas por dia, em média, você fica completamente desconectado da internet (sem celular, computador ou TV)? "",""15. Em uma escala de 0 a 10, o quanto você acredita que o uso excessivo de tecnologia pode prejudicar a saúde mental? "",,,,,,"
"5/26/2026 18:45:30,Masculino,55 anos ou mais,Mestrado,3,WhatsApp,Raramente (menos de uma vez por mês),2,2,""Sim, frequentemente"",Baixo,1,2 – Pouco preocupado(a),Notebook / Computador,10,8,,,,,,"
"5/26/2026 18:49:41,Masculino,55 anos ou mais,Mestrado,2,WhatsApp,Raramente (menos de uma vez por mês),3,2,""Sim, ocasionalmente"",Baixo,1,2 – Pouco preocupado(a),Notebook / Computador,10,8,,,,,,"
"5/26/2026 19:35:06,Feminino,25 a 34 anos,Graduação,12,WhatsApp,Raramente (menos de uma vez por mês),4,4,""Sim, ocasionalmente"",Alto,3,5 – Extremamente preocupado(a),Smartphone,9,10 (Prejudica extremamente),,,,,,"
"5/26/2026 21:13:17,Feminino,25 a 34 anos,Graduação,14,Instagram,Muito frequentemente (diariamente ou quase),0 (Discordo totalmente),4,""Sim, frequentemente"",Muito alto,16,1 – Nada preocupado(a),Smartphone,8,10 (Prejudica extremamente),,,,,,"
"5/26/2026 22:55:47,Masculino,55 anos ou mais,Ensino Médio,2.00,YouTube,Muito frequentemente (diariamente ou quase),10 (Concordo totalmente),2.00,""Não, e não tenho interesse"",Baixo,3,5 – Extremamente preocupado(a),Smartphone,7,8,,,,,,"
"5/26/2026 23:04:26,Masculino,55 anos ou mais,Ensino Médio,2,YouTube,Muito frequentemente (diariamente ou quase),5,2,""Não, e não tenho interesse"",Baixo,3,5 – Extremamente preocupado(a),Smartphone,8,4,,,,,,"
"5/29/2026 10:49:36,Feminino,45 a 54 anos,Mestrado,5,WhatsApp,Às vezes (1 a 3 vezes por semana),5,2,""Sim, ocasionalmente"",Médio,30,3 – Moderadamente preocupado(a),Smartphone,18,5,,,,,,"
"5/30/2026 12:35:32,Feminino,55 anos ou mais,Doutorado,1,Instagram,Raramente (menos de uma vez por mês),0 (Discordo totalmente),2,""Sim, frequentemente"",Alto,2,5 – Extremamente preocupado(a),Smart TV,3,10 (Prejudica extremamente),,,,,,"
"6/1/2026 13:04:53,Masculino,45 a 54 anos,Pós-graduação (Especialização/MBA),4,WhatsApp,Às vezes (1 a 3 vezes por semana),5,5,""Sim, ocasionalmente"",Baixo,3,2 – Pouco preocupado(a),Notebook / Computador,10,7,,,,,,"
"6/1/2026 17:42:27,Feminino,18 a 24 anos,Ensino Médio,8,Instagram,Raramente (menos de uma vez por mês),5,4,""Sim, frequentemente"",Alto,3,3 – Moderadamente preocupado(a),Smartphone,5,8,,,,,,"
"6/8/2026 19:58:46,Feminino,45 a 54 anos,Mestrado,10,E-mails ,Raramente (menos de uma vez por mês),2,1,""Sim, frequentemente"",Médio,1,4 – Muito preocupado(a),Notebook / Computador,1,5,,,,,,"
"6/8/2026 20:01:36,Feminino,35 a 44 anos,Graduação,5,WhatsApp,Às vezes (1 a 3 vezes por semana),6,3,""Sim, ocasionalmente"",Médio,2,3 – Moderadamente preocupado(a),Smartphone,10,8,,,,,,"
"6/8/2026 20:10:21,Feminino,45 a 54 anos,Ensino Médio,2,WhatsApp,Raramente (menos de uma vez por mês),4,1,""Já testei, mas não utilizo regularmente"",Baixo,2,1 – Nada preocupado(a),Smartphone,6,10 (Prejudica extremamente),,,,,,"
"6/8/2026 20:30:51,Feminino,18 a 24 anos,Graduação,10,TikTok,Às vezes (1 a 3 vezes por semana),5,5,""Sim, frequentemente"",Médio,6,5 – Extremamente preocupado(a),Smartphone,13,10 (Prejudica extremamente),,,,,,"
"6/8/2026 20:52:48,Feminino,45 a 54 anos,Ensino Médio,2,WhatsApp,Às vezes (1 a 3 vezes por semana),1,2,""Não, e não tenho interesse"",Médio,1,3 – Moderadamente preocupado(a),Notebook / Computador,20,9,,,,,,"
"6/8/2026 20:56:39,Masculino,45 a 54 anos,Ensino Médio,12,WhatsApp,Muito frequentemente (diariamente ou quase),6,3,""Já testei, mas não utilizo regularmente"",Alto,3,5 – Extremamente preocupado(a),Smartphone,8,8,,,,,,"
"6/8/2026 20:59:37,Feminino,25 a 34 anos,Ensino Fundamental,5,WhatsApp,Às vezes (1 a 3 vezes por semana),5,2,""Não, e não tenho interesse"",Médio,1,5 – Extremamente preocupado(a),Smartphone,8,6,,,,,,"
"6/8/2026 21:01:35,Feminino,45 a 54 anos,Graduação,6,YouTube,Às vezes (1 a 3 vezes por semana),5,2,""Sim, frequentemente"",Médio,3,5 – Extremamente preocupado(a),Smartphone,1,10 (Prejudica extremamente),,,,,,"
"6/8/2026 21:01:36,Feminino,45 a 54 anos,Graduação,4,WhatsApp,Nunca,3,2,""Sim, ocasionalmente"",Médio,4,4 – Muito preocupado(a),Smartphone,2,6,,,,,,"
"6/8/2026 21:11:14,Feminino,35 a 44 anos,Ensino Médio,8,WhatsApp,Às vezes (1 a 3 vezes por semana),5,4,""Já testei, mas não utilizo regularmente"",Alto,8,5 – Extremamente preocupado(a),Smartphone,10,9,,,,,,"
"6/8/2026 21:12:47,Feminino,55 anos ou mais,Ensino Médio,2,WhatsApp,Raramente (menos de uma vez por mês),1,3,""Sim, ocasionalmente"",Médio,1,3 – Moderadamente preocupado(a),Smartphone,4,10 (Prejudica extremamente),,,,,,"
"6/8/2026 21:26:18,Feminino,55 anos ou mais,Pós-graduação (Especialização/MBA),5,WhatsApp,Às vezes (1 a 3 vezes por semana),3,3,""Sim, frequentemente"",Muito alto,1,4 – Muito preocupado(a),Smartphone,8,9,,,,,,"
"6/8/2026 21:38:12,Feminino,25 a 34 anos,Graduação,8,WhatsApp,Raramente (menos de uma vez por mês),5,3,""Não, mas tenho interesse"",Médio,2,5 – Extremamente preocupado(a),Smartphone,12,10 (Prejudica extremamente),,,,,,"
"6/8/2026 21:41:52,Feminino,35 a 44 anos,Ensino Médio,10,Instagram,Raramente (menos de uma vez por mês),6,3,""Já testei, mas não utilizo regularmente"",Alto,9,4 – Muito preocupado(a),Smartphone,14,8,,,,,,"
"6/8/2026 21:47:37,Masculino,35 a 44 anos,Ensino Médio,6,YouTube,Raramente (menos de uma vez por mês),7,6,""Sim, frequentemente"",Alto,2,4 – Muito preocupado(a),Smartphone,1,10 (Prejudica extremamente),,,,,,"
"6/8/2026 22:33:02,Feminino,35 a 44 anos,Pós-graduação (Especialização/MBA),7,WhatsApp,Às vezes (1 a 3 vezes por semana),7,2,""Sim, ocasionalmente"",Médio,4,4 – Muito preocupado(a),Smartphone,8,4,,,,,,"
"6/8/2026 22:42:31,Masculino,35 a 44 anos,Pós-graduação (Especialização/MBA),12,WhatsApp,Nunca,3,3,""Já testei, mas não utilizo regularmente"",Baixo,3,3 – Moderadamente preocupado(a),Smartphone,3,10 (Prejudica extremamente),,,,,,"
"6/8/2026 22:48:12,Masculino,25 a 34 anos,Ensino Médio,4,YouTube,Raramente (menos de uma vez por mês),5,3,""Sim, frequentemente"",Baixo,2,4 – Muito preocupado(a),Notebook / Computador,2,8,,,,,,"
"6/9/2026 6:54:25,Masculino,35 a 44 anos,Ensino Fundamental,2,WhatsApp,Nunca,1,2,""Sim, frequentemente"",Muito baixo,2,3 – Moderadamente preocupado(a),Smartphone,20,5,,,,,,"
"6/9/2026 9:12:07,Masculino,55 anos ou mais,Ensino Fundamental,6,Facebook,Raramente (menos de uma vez por mês),7,2,""Não, e não tenho interesse"",Médio,2,2 – Pouco preocupado(a),Smartphone,6,6,,,,,,"
"6/9/2026 10:03:49,Feminino,55 anos ou mais,Ensino Fundamental,5,TikTok,Nunca,8,2,""Não, e não tenho interesse"",Médio,3,3 – Moderadamente preocupado(a),Smartphone,10,7,,,,,,"
"6/9/2026 11:49:21,Feminino,18 a 24 anos,Graduação,5,WhatsApp,Às vezes (1 a 3 vezes por semana),0 (Discordo totalmente),3,""Já testei, mas não utilizo regularmente"",Médio,4,3 – Moderadamente preocupado(a),Smartphone,10,10 (Prejudica extremamente),,,,,,"
